303640587393970178	negative	Thank you Windows 8 for taking up a half hour of my life as I tried to figure out how to shut you down before finally pulling the plug
303720203219521536	negative	WHAT ON EARTH IS MY LAPTOP DOING I HATE WINDOWS 8 IT'S SO CONFUSING I SHOULD HAVE BOUGHT SOMETHING ELSE
303827781052145665	negative	Windows 8 FAIL http://t.co/Lf6iJPIv
303548381316386816	positive	I personally think that Windows Phone 8 offers the best UI since the original iPhone. Only problem is, bugs, bugs and more bugs.
303708658733301760	negative	windows 8...wtf is this.
304288653918736384	negative	#2ThingsThatDontMix windows 8 and any computer without a touchscreen
304210325325086720	negative	Windows 8 is so confusing
304098653906272256	positive	4 Reasons Why Small Businesses Shouldn’t Switch to Windows 8 Pro http://t.co/16d0WE8n
304184476680990720	positive	Great Apps for Windows Phone 8 - http://t.co/TL0hP58k #DS3 Be #Inspired
303997507468410880	negative	@Ratiog slightly different some apps on windows 7 dosnt work on windows 8
303962277953015808	negative	Windows 8 Skype app is shit!
303879157035704320	neutral	Should I get the Galaxy S III or Windows Phone 8?
303904353901768704	positive	Dragon 12 and Windows 8 play nicely together http://t.co/GXc8G9wQ
304000850970411009	positive	I get way too excited over new things I find in Windows 8
304320382561832960	negative	New Windows 8 PC waiting for me at home.  Let the facepalm begin!
304254654022307840	positive	Worried about Anti-Virus?  It's built in to Windows 8 - FREE! @2013Roadshow #SNX_Roadshow
304095715670503424	positive	I just got windows 8 and having a ball
303868847537127425	positive	Windows 8–Let Templates Simplify the Search Contract http://t.co/0SDm52gN
303594813486403584	positive	Heh, just noticed that Windows 8 doesn't annoy you when you change the extension of a file in a rename any more :)
303934571999789056	negative	@Schdynygirl well of course and ew windows 8 phone! Girl get an iPhone.  Lol
303864932598939648	negative	Problem in Windows 8: Occasionally SONY viao screen goes blank while charging. Any clue?
303691161695039489	negative	these windows 8 gestures are like a really long memory test.
303994682487209985	positive	@shortylopez_ Lmaoo its that good shitt Windows 8 👌
304231445902274560	positive	Like, how cool is this!? Windows 8 http://t.co/RhIwcsmm
303783654029676544	negative	Windows 8 can do one I just can't do it headache
304306857034514432	negative	Ah Windows 8~ the only OS where I have to delete bloatware on a fresh install.
303899655752777729	positive	Now that my phone is ran by Windows 8 I do believe I have fallen in love lol
303667267399454720	positive	Windows Phone 7.8 you make my day guuurl
303695361359360000	positive	Interesting client example from HP on how Emirates uses HP ElitePad Windows 8 tablets to improve in-flight service #ICT2013
303956991578099712	positive	Windows phone 8 OS > Any FUCKIN        Version of android
304333038131765250	negative	Fuck windows 8 and apple iPad mini. They both suck
303590658726301696	negative	Windows 8 is just weird
303781245941325824	positive	Finally got my Lappy back & it's running Windows 8 smoothly! So what did I miss? Congrats Argo & my Ben Affleck for winning #CriticsChoice
303579379521445888	positive	My mom just bought the new Windows 8 tablet! #SoFuckingJacked
304169598478061570	negative	I was enjoying the show until fucking Windows 8 came along. (@YouTube http://t.co/XsD9r85V)
304163531362795522	negative	@MrAndroidUK @chrisjfinlay @isleofmandan It'll be interesting to see. It's a game Microsoft can only lose ... and they might, with Windows 8
304218269856972801	positive	http://t.co/8OKREos9 ready for Windows 8, inkl.  Start screen site tile :)
304064818720161794	negative	@ItsAdamJ I know lil' nigglet, I got Windows 8 so my shit got deleted, just installed it again though
303760156209061889	neutral	Anyone using windows 8? Need some #help
304335700105506816	neutral	Windows 8 http://t.co/uKXampO2
303829836797976577	positive	I love soo many features of Windows 8 but miss the start menus at times, may get start8 to fix that
303598756211863553	positive	Getting upgraded to Windows 8 tomorrow at work. And yeah, I'm totally thrilled.
